time,number,location,x,y
07:00,6235,entrance,84,9
07:01,6235,fruit,93,42
07:01,2832,entrance,119,3
07:02,6235,fruit,93,42
07:02,2832,drinks,19,29
07:02,3815,entrance,91,8
07:03,6235,fruit,93,42
07:03,2832,drinks,19,29
07:03,3815,drinks,14,35
07:03,6522,entrance,83,1
07:04,6235,fruit,93,42
07:04,2832,drinks,19,29
07:04,3815,drinks,14,35
07:04,6522,spices,72,41
07:04,6537,entrance,87,8
07:05,6235,fruit,93,42
07:05,2832,fruit,97,40
07:05,3815,drinks,14,35
07:05,6522,dairy,42,34
07:05,6537,fruit,95,31
07:05,5667,entrance,119,11
07:06,6235,fruit,93,42
07:06,3815,checkout,36,3
07:06,6522,dairy,42,34
07:06,6537,dairy,43,33
07:06,5667,fruit,95,43
07:06,7520,entrance,111,6
07:07,3815,checkout,36,3
07:07,6537,dairy,43,33
07:07,5667,fruit,95,43
07:07,7520,dairy,42,32
07:07,9908,entrance,78,4
07:08,6537,dairy,43,33
07:08,5667,dairy,38,31
07:08,7520,dairy,42,32
07:08,9908,drinks,17,38
07:08,9691,entrance,75,14
07:09,6537,dairy,43,33
07:09,5667,dairy,38,31
07:09,7520,dairy,42,32
07:09,9691,dairy,44,29
07:09,2495,entrance,83,11
07:10,6537,fruit,94,28
07:10,5667,dairy,38,31
07:10,7520,dairy,42,32
07:10,9691,spices,68,30
07:10,2495,fruit,95,37
07:10,9016,entrance,84,11
07:11,5667,dairy,38,31
07:11,7520,fruit,95,31
07:11,9691,spices,68,30
07:11,2495,dairy,39,26
07:11,9016,fruit,94,29
07:11,4354,entrance,86,0
07:12,5667,dairy,38,31
07:12,7520,fruit,95,31
07:12,9691,spices,68,30
07:12,2495,dairy,39,26
07:12,9016,fruit,94,29
07:12,4354,fruit,96,38
07:12,7250,entrance,99,11
07:13,5667,dairy,38,31
07:13,7520,fruit,95,31
07:13,9691,dairy,43,38
07:13,2495,dairy,39,26
07:13,9016,fruit,94,29
07:13,4354,spices,70,27
07:13,7250,dairy,40,41
07:13,3912,entrance,96,4
07:14,5667,dairy,38,31
07:14,7520,dairy,44,39
07:14,9691,dairy,43,38
07:14,2495,dairy,39,26
07:14,9016,fruit,94,29
07:14,4354,spices,70,27
07:14,7250,dairy,40,41
07:14,3912,fruit,98,31
07:14,2742,entrance,110,4
07:15,5667,dairy,38,31
07:15,7520,dairy,44,39
07:15,9691,dairy,43,38
07:15,2495,dairy,39,26
07:15,9016,fruit,94,29
07:15,4354,spices,70,27
07:15,7250,dairy,40,41
07:15,3912,fruit,98,31
07:15,2742,drinks,18,29
07:15,8662,entrance,118,4
07:16,5667,dairy,38,31
07:16,7520,dairy,44,39
07:16,9691,dairy,43,38
07:16,2495,dairy,39,26
07:16,9016,fruit,94,29
07:16,7250,dairy,40,41
07:16,3912,dairy,43,32
07:16,2742,drinks,18,29
07:16,8662,drinks,10,26
07:16,7439,entrance,102,13
07:17,5667,dairy,38,31
07:17,9691,dairy,43,38
07:17,2495,fruit,91,35
07:17,7250,dairy,40,41
07:17,3912,spices,73,30
07:17,2742,drinks,18,29
07:17,8662,drinks,10,26
07:17,7439,fruit,93,43
07:17,2992,entrance,112,6
07:18,5667,dairy,38,31
07:18,9691,dairy,43,38
07:18,7250,dairy,40,41
07:18,3912,spices,73,30
07:18,2742,drinks,18,29
07:18,8662,drinks,10,26
07:18,7439,fruit,93,43
07:18,2992,spices,73,40
07:18,4447,entrance,75,11
07:19,5667,fruit,98,35
07:19,9691,dairy,43,38
07:19,7250,dairy,40,41
07:19,3912,spices,73,30
07:19,2742,drinks,18,29
07:19,8662,fruit,94,42
07:19,7439,fruit,93,43
07:19,2992,spices,73,40
07:19,4447,fruit,91,25
07:19,9977,entrance,95,1
07:20,5667,fruit,98,35
07:20,9691,fruit,99,26
07:20,7250,dairy,40,41
