time,number,location,x,y
07:00,6057,entrance,104,4
07:01,6057,dairy,38,30
07:01,3666,entrance,99,1
07:02,6057,fruit,99,25
07:02,3666,spices,72,41
07:02,7422,entrance,107,1
07:03,6057,fruit,99,25
07:03,3666,entrance,72,2
07:03,7422,fruit,94,33
07:03,946,entrance,95,0
07:04,6057,dairy,46,25
07:04,3666,dairy,40,27
07:04,946,checkout,29,3
07:04,1056,entrance,97,1
07:05,6057,fruit,104,41
07:05,3666,dairy,40,27
07:05,1056,drinks,13,26
07:05,5893,entrance,112,4
07:06,6057,drinks,20,33
07:06,3666,drinks,9,37
07:06,5893,drinks,18,26
07:06,162,entrance,71,5
07:07,6057,drinks,20,33
07:07,5893,entrance,103,1
07:07,162,dairy,35,43
07:07,969,entrance,90,14
07:08,6057,fruit,90,36
07:08,162,dairy,35,43
07:08,969,dairy,42,38
07:08,3702,entrance,108,3
07:09,6057,fruit,90,36
07:09,162,drinks,19,36
07:09,969,spices,73,26
07:09,3702,dairy,37,38
07:09,6556,entrance,97,0
07:10,6057,fruit,90,36
07:10,162,drinks,19,36
07:10,969,spices,73,26
07:10,3702,dairy,37,38
07:10,6556,fruit,96,29
07:10,7379,entrance,89,9
07:11,162,drinks,19,36
07:11,969,drinks,17,31
07:11,6556,fruit,96,29
07:11,7379,dairy,42,40
07:11,5716,entrance,78,4
07:12,162,fruit,91,43
07:12,969,dairy,40,35
07:12,6556,fruit,96,29
07:12,7379,dairy,42,40
07:12,4783,entrance,113,5
07:13,162,dairy,38,42
07:13,969,dairy,40,35
07:13,6556,fruit,96,29
07:13,7379,dairy,42,40
07:13,4783,entrance,113,5
07:13,5350,entrance,103,1
07:14,162,dairy,38,42
07:14,969,dairy,40,35
07:14,6556,dairy,46,43
07:14,7379,dairy,42,40
07:14,4783,dairy,43,33
07:14,3908,entrance,104,12
07:15,162,fruit,102,44
07:15,969,spices,63,31
07:15,6556,drinks,19,26
07:15,7379,dairy,42,40
07:15,4783,dairy,43,33
07:15,3908,fruit,100,26
07:15,7039,entrance,109,10
07:16,162,drinks,16,31
07:16,969,spices,63,31
07:16,6556,dairy,47,38
07:16,7379,spices,67,25
07:16,3908,fruit,100,26
07:16,8662,entrance,114,13
07:17,162,drinks,16,31
07:17,969,spices,63,31
07:17,6556,dairy,47,38
07:17,7379,dairy,37,30
07:17,3908,fruit,100,26
07:17,6833,entrance,70,3
07:18,162,fruit,91,41
07:18,969,spices,63,31
07:18,6556,dairy,47,38
07:18,7379,entrance,92,6
07:18,3908,spices,75,32
07:18,6833,spices,66,44
07:18,9128,entrance,114,6
07:19,162,entrance,112,2
07:19,6556,checkout,20,6
07:19,7379,dairy,36,41
07:19,3908,spices,75,32
07:19,6833,drinks,17,34
07:19,9755,entrance,106,14
07:20,162,fruit,98,34
07:20,7379,dairy,36,41
07:20,3908,spices,75,32
07:20,9755,checkout,54,4
07:20,9774,entrance,87,5
07:21,162,fruit,98,34
07:21,7379,entrance,90,4
07:21,3908,entrance,84,7
07:21,9774,spices,64,31
07:21,4705,entrance,111,13
07:22,162,fruit,98,34
07:22,3908,dairy,46,28
